code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
1	gain	chr1-11387208-20082849-gain	0.290322580645161	0.184357541899441	0.402061855670103	NA	NA	NA	NA	NA	NA	chr1	gain	1
2	gain	chr1-228480282-236797290-gain	0.541666666666667	0.397058823529412	0.671433178534571	NA	NA	NA	NA	NA	NA	chr1	gain	1
15	gain	chr3-132269624-134613837-gain	0.0476190476190476	0	0.116279069767442	NA	NA	NA	NA	NA	NA	chr3	gain	3
16	gain	chr3-138171042-143732167-gain	0.104247104247104	0.0355731225296443	0.169811320754717	NA	NA	NA	NA	NA	NA	chr3	gain	3
17	gain	chr3-164813651-171174428-gain	0.346820809248555	0.234520810514786	0.464088397790055	NA	NA	NA	NA	NA	NA	chr3	gain	3
18	gain	chr3-174807671-182706590-gain	0.171686746987952	0.101851851851852	0.24633431085044	NA	NA	NA	NA	NA	NA	chr3	gain	3
19	gain	chr3-23162960-32637679-gain	0.219178082191781	0.127358490566038	0.317180616740088	NA	NA	NA	NA	NA	NA	chr3	gain	3
20	gain	chr3-32871036-38620442-gain	0.129496402877698	0.0444444444444444	0.229166666666667	NA	NA	NA	NA	NA	NA	chr3	gain	3
21	gain	chr4-167280352-172917959-gain	0.286764705882353	0.161538461538462	0.41958041958042	NA	NA	NA	NA	NA	NA	chr4	gain	4
22	gain	chr4-177192671-183526678-gain	0.3375	0.215686274509804	0.464285714285714	NA	NA	NA	NA	NA	NA	chr4	gain	4
23	gain	chr4-88557071-93448470-gain	0.310344827586207	0.163636363636364	0.463414634146341	NA	NA	NA	NA	NA	NA	chr4	gain	4
24	gain	chr5-32040888-40619872-gain	0.285714285714286	0.165745856353591	0.409090909090909	NA	NA	NA	NA	NA	NA	chr5	gain	5
25	gain	chr5-3521404-8520649-gain	0.504	0.355367231638418	0.671641791044776	NA	NA	NA	NA	NA	NA	chr5	gain	5
26	gain	chr7-15893300-25136599-gain	0.340080971659919	0.239495798319328	0.443579766536965	NA	NA	NA	NA	NA	NA	chr7	gain	7
27	gain	chr7-80541042-87286446-gain	0.204081632653061	0.105633802816901	0.314161573720397	NA	NA	NA	NA	NA	NA	chr7	gain	7
28	gain	chr8-137067091-143193399-gain	0.421052631578947	0.277777777777778	0.55	NA	NA	NA	NA	NA	NA	chr8	gain	8
29	gain	chr9-114891125-121825087-gain	0.439024390243902	0.290322580645161	0.572254335260116	NA	NA	NA	NA	NA	NA	chr9	gain	9
30	gain	chr9-17412560-20910013-gain	0.205128205128205	0.0803571428571428	0.341463414634146	NA	NA	NA	NA	NA	NA	chr9	gain	9
31	gain	chr9-80916194-88181430-gain	0.352941176470588	0.209302325581395	0.5	NA	NA	NA	NA	NA	NA	chr9	gain	9
3	gain	chr10-119700881-127121454-gain	0.244897959183673	0.127659574468085	0.37012987012987	NA	NA	NA	NA	NA	NA	chr10	gain	10
4	gain	chr10-42428163-50251101-gain	1.08637873754153	0.993031358885017	1.17142857142857	NA	NA	NA	NA	NA	NA	chr10	gain	10
5	gain	chr10-89958582-96264077-gain	0.355555555555556	0.2109375	0.503496503496503	NA	NA	NA	NA	NA	NA	chr10	gain	10
6	gain	chr11-103383152-112596569-gain	0.4	0.288770053475936	0.514705882352941	NA	NA	NA	NA	NA	NA	chr11	gain	11
7	gain	chr11-26459108-31043939-gain	0.096	0.0245901639344262	0.186046511627907	NA	NA	NA	NA	NA	NA	chr11	gain	11
8	gain	chr11-73619854-80609681-gain	0.617647058823529	0.448818897637795	0.76551724137931	NA	NA	NA	NA	NA	NA	chr11	gain	11
9	gain	chr12-78413854-89917518-gain	0.3125	0.195652173913043	0.432835820895522	NA	NA	NA	NA	NA	NA	chr12	gain	12
10	gain	chr13-31821505-37885407-gain	0.323076923076923	0.193548387096774	0.45985401459854	NA	NA	NA	NA	NA	NA	chr13	gain	13
11	gain	chr13-76465845-82321943-gain	0.425196850393701	0.275	0.577777777777778	NA	NA	NA	NA	NA	NA	chr13	gain	13
12	gain	chr15-22878148-30134570-gain	0.454545454545455	0.307692307692308	0.572254335260116	NA	NA	NA	NA	NA	NA	chr15	gain	15
13	gain	chr16-5639016-8318934-gain	0.368421052631579	0.196261682242991	0.520661157024793	NA	NA	NA	NA	NA	NA	chr16	gain	16
14	gain	chr20-24900767-25936465-gain	0.0288461538461538	0	0.0849056603773585	NA	NA	NA	NA	NA	NA	chr20	gain	20
