code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
5	gain	chr2-180875225-186605107-gain	0.4375	0.286764705882353	0.588235294117647	NA	NA	NA	NA	NA	NA	chr2	gain	2
6	gain	chr2-199145710-210143298-gain	0.271356783919598	0.157068062827225	0.376811594202899	NA	NA	NA	NA	NA	NA	chr2	gain	2
7	gain	chr3-176248984-182894973-gain	0.297297297297297	0.142857142857143	0.435897435897436	NA	NA	NA	NA	NA	NA	chr3	gain	3
8	gain	chr4-121547401-133383449-gain	0.266949152542373	0.171052631578947	0.36734693877551	NA	NA	NA	NA	NA	NA	chr4	gain	4
9	gain	chr4-190057166-190790246-gain	0.654135338345865	0.504	0.802816901408451	NA	NA	NA	NA	NA	NA	chr4	gain	4
10	gain	chr6-160477808-167212337-gain	0.454545454545455	0.312	0.617021276595745	NA	NA	NA	NA	NA	NA	chr6	gain	6
14	gain_2	chr6-57320100-58773345-gain_2	0.0985221674876847	0.0204055733968714	0.181902356902357	1.57635467980296	1.44498299778701	1.69014084507042	NA	NA	NA	chr6	gain	6
11	gain	chr7-151218785-157784981-gain	0.656934306569343	0.4921875	0.801369863013699	NA	NA	NA	NA	NA	NA	chr7	gain	7
12	gain	chr8-957248-2522277-gain	0.942028985507246	0.826251962323391	1.04587155963303	NA	NA	NA	NA	NA	NA	chr8	gain	8
1	gain	chr11-11823550-18228703-gain	0.197080291970803	0.0909090909090909	0.314685314685315	NA	NA	NA	NA	NA	NA	chr11	gain	11
2	gain	chr17-15063371-22244184-gain	0.445945945945946	0.3	0.576923076923077	NA	NA	NA	NA	NA	NA	chr17	gain	17
3	gain	chr17-29749054-37017360-gain	0.292682926829268	0.153846153846154	0.438461538461539	NA	NA	NA	NA	NA	NA	chr17	gain	17
4	gain	chr18-19486342-25488506-gain	0.344262295081967	0.206896551724138	0.507692307692308	NA	NA	NA	NA	NA	NA	chr18	gain	18
13	gain	chrX-128733142-137543903-gain	0.757281553398058	0.618248223919662	0.870967741935484	NA	NA	NA	NA	NA	NA	chrX	gain	X
