code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
1	gain	chr1-776546-111168868-gain	0.339130434782609	0.242931392931393	0.439330543933054	NA	NA	NA	NA	NA	NA	chr1	gain	1
6	gain	chr2-95330387-242955889-gain	0.310344827586207	0.224199288256228	0.4	NA	NA	NA	NA	NA	NA	chr2	gain	2
7	gain	chr2-20807-67463136-gain	0.251612903225806	0.140939597315436	0.37037037037037	NA	NA	NA	NA	NA	NA	chr2	gain	2
8	gain	chr3-93505756-197846280-gain	0.355932203389831	0.251101321585903	0.463414634146341	NA	NA	NA	NA	NA	NA	chr3	gain	3
9	gain	chr3-60596-90497467-gain	0.361111111111111	0.246376811594203	0.466666666666667	NA	NA	NA	NA	NA	NA	chr3	gain	3
10	gain	chr4-52703610-181912396-gain	0.501347708894879	0.403361344537815	0.592207792207792	NA	NA	NA	NA	NA	NA	chr4	gain	4
11	gain	chr4-109541-49082267-gain	0.558139534883721	0.396694214876033	0.717391304347826	NA	NA	NA	NA	NA	NA	chr4	gain	4
12	gain	chr8-156504-146300622-gain	0.336448598130841	0.250582149154652	0.416918429003021	NA	NA	NA	NA	NA	NA	chr8	gain	8
13	gain	chr9-71033501-141069765-gain	0.62	0.468085106382979	0.76875	NA	NA	NA	NA	NA	NA	chr9	gain	9
2	gain	chr10-42458077-135235890-gain	0.38860103626943	0.260869565217391	0.504950495049505	NA	NA	NA	NA	NA	NA	chr10	gain	10
3	gain	chr11-54706583-134945709-gain	0.50625	0.375	0.63905325443787	NA	NA	NA	NA	NA	NA	chr11	gain	11
14	LOH	chr13-19449981-114999838-LOH	0.278481012658228	0.186666666666667	0.37125748502994	NA	NA	NA	NA	NA	NA	chr13	LOH	13
4	gain	chr14-20425051-107191204-gain	0.467065868263473	0.339622641509434	0.596590909090909	NA	NA	NA	NA	NA	NA	chr14	gain	14
5	gain	chr18-18594830-78015230-gain	0.282608695652174	0.137404580152672	0.413793103448276	NA	NA	NA	NA	NA	NA	chr18	gain	18
