sample	Chrom	start	end	class	nMaj1_A	nMin1_A	frac1_A	nMaj2_A	nMin2_A	code_batt
04-38353T--04-38353N	1	876355	93356792	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	1	93361899	97425992	deletion	1	0	0.661417322834643	2	0	subclonal
04-38353T--04-38353N	1	98188557	98589218	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	1	98593948	99647180	deletion	1	0	0.594488188976378	2	0	subclonal
04-38353T--04-38353N	1	99792832	99984990	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	1	99987303	117240810	deletion	1	0	0.633530183727032	2	0	subclonal
04-38353T--04-38353N	1	117272067	248909926	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	2	14004	88854568	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	2	88862035	91864360	deletion	1	0	0.500787401574801	2	0	subclonal
04-38353T--04-38353N	2	91867019	242043342	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	3	36268	90448317	gain	2	1	1	NA	NA	no_sub
04-38353T--04-38353N	3	93786912	198115487	gain	2	1	1	NA	NA	no_sub
04-38353T--04-38353N	4	11870	189848068	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	5	850088	181288809	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	6	192157	105710583	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	6	105711158	107140922	deletion	1	0	0.646544181977248	2	0	subclonal
04-38353T--04-38353N	6	107143389	107996507	deletion	1	0	0.326378634897748	1	1	subclonal
04-38353T--04-38353N	6	107998386	108366620	deletion	1	0	0.684724785072713	2	0	subclonal
04-38353T--04-38353N	6	108460873	119031853	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	6	119032047	128235054	deletion	1	0	0.174978127734034	1	1	subclonal
04-38353T--04-38353N	6	128251732	170612497	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	7	82180	159330245	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	8	212281	145075236	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	9	203937	38774354	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	9	61665362	61692491	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	9	68416612	138174508	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	10	48486	133422386	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	11	196944	83550225	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	11	83550291	115169201	deletion	1	0	0.212811236433286	1	1	subclonal
04-38353T--04-38353N	11	115170198	134999713	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	12	79119	133262557	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	13	18910187	114344377	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	14	19956892	106881246	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	15	19796459	101888846	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	16	42370	89999852	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	17	153311	79999603	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	18	125632	79999306	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	19	255924	58580350	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	20	20001903	26325907	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	20	30185407	64324353	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	21	13901496	46681423	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	22	16386975	22196050	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	22	22196729	22720405	deletion	1	0	0.594488188976378	2	0	subclonal
04-38353T--04-38353N	22	22721447	23939313	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	22	23939316	24006363	LOH	2	0	0.498736269077475	2	1	subclonal
04-38353T--04-38353N	22	24008132	49999547	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	X	1334607	58525020	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	X	62522181	89201195	normal	1	1	1	NA	NA	no_sub
04-38353T--04-38353N	X	93246139	155971724	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	1	876001	88745176	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	1	88756737	119062604	deletion	1	0	1	NA	NA	no_sub
05-11733T--05-11733N	1	119063374	121588919	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	1	143542498	143724724	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	1	146891138	152050513	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	1	152061954	174882564	deletion	1	0	1	NA	NA	no_sub
05-11733T--05-11733N	1	174882641	248914573	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	2	197644	242042281	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	3	19817	114444983	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	3	114445309	198116021	gain	2	1	1	NA	NA	no_sub
05-11733T--05-11733N	4	11870	189864235	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	5	859713	147216735	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	5	147217191	147301350	gain	2	1	1	NA	NA	no_sub
05-11733T--05-11733N	5	147308564	172106778	normal	1	1	1	NA	NA	no_sub
